id_vendedor;nome_vendedor;estado_brasileiro
154;Central Web Esportes 154;RJ
155;Compra Certa Livros 155;RN
156;Loja Aurora Pet 156;RS
157;Portal Mix Brinquedos 157;RO
158;Mercado Nuvem Papelaria 158;RR
159;Universo Shop Alimentos 159;SC
160;Ponto Online Moda 160;SP
161;Nova Vitrine Casa 161;SE
162;Loja Horizonte Eletronicos 162;TO
163;Vitrine Digital Beleza 163;AC
164;Viva Store Esportes 164;AL
165;Conecta Shop Livros 165;AP
166;Central Web Pet 166;AM
167;Compra Certa Brinquedos 167;BA
168;Loja Aurora Papelaria 168;CE
169;Portal Mix Alimentos 169;DF
170;Mercado Nuvem Moda 170;ES
171;Universo Shop Casa 171;GO
172;Ponto Online Eletronicos 172;MA
173;Nova Vitrine Beleza 173;MT
174;Loja Horizonte Esportes 174;MS
175;Vitrine Digital Livros 175;MG
176;Viva Store Pet 176;PA
177;Conecta Shop Brinquedos 177;PB
178;Central Web Papelaria 178;PR
179;Compra Certa Alimentos 179;PE
180;Loja Aurora Moda 180;PI
181;Portal Mix Casa 181;RJ
182;Mercado Nuvem Eletronicos 182;RN
183;Universo Shop Beleza 183;RS
184;Ponto Online Esportes 184;RO
185;Nova Vitrine Livros 185;RR
186;Loja Horizonte Pet 186;SC
187;Vitrine Digital Brinquedos 187;SP
188;Viva Store Papelaria 188;SE
189;Conecta Shop Alimentos 189;TO
190;Central Web Moda 190;AC
191;Compra Certa Casa 191;AL
192;Loja Aurora Eletronicos 192;AP
193;Portal Mix Beleza 193;AM
194;Mercado Nuvem Esportes 194;BA
195;Universo Shop Livros 195;CE
196;Ponto Online Pet 196;DF
197;Nova Vitrine Brinquedos 197;ES
198;Loja Horizonte Papelaria 198;GO
199;Vitrine Digital Alimentos 199;MA
200;Viva Store Moda 200;MT
201;Conecta Shop Casa 201;MS
202;Central Web Eletronicos 202;MG
203;Compra Certa Beleza 203;PA
204;Loja Aurora Esportes 204;PB
205;Portal Mix Livros 205;PR
206;Mercado Nuvem Pet 206;PE
207;Universo Shop Brinquedos 207;PI
208;Ponto Online Papelaria 208;RJ
209;Nova Vitrine Alimentos 209;RN
210;Loja Horizonte Moda 210;RS
211;Vitrine Digital Casa 211;RO
212;Viva Store Eletronicos 212;RR
213;Conecta Shop Beleza 213;SC
214;Central Web Esportes 214;SP
215;Compra Certa Livros 215;SE
216;Loja Aurora Pet 216;TO
217;Portal Mix Brinquedos 217;AC
218;Mercado Nuvem Papelaria 218;AL
219;Universo Shop Alimentos 219;AP
220;Ponto Online Moda 220;AM
221;Nova Vitrine Casa 221;BA
222;Loja Horizonte Eletronicos 222;CE
223;Vitrine Digital Beleza 223;DF
224;Viva Store Esportes 224;ES
225;Conecta Shop Livros 225;GO
226;Central Web Pet 226;MA
227;Compra Certa Brinquedos 227;MT
228;Loja Aurora Papelaria 228;MS
229;Portal Mix Alimentos 229;MG
230;Mercado Nuvem Moda 230;PA
231;Universo Shop Casa 231;PB
232;Ponto Online Eletronicos 232;PR
233;Nova Vitrine Beleza 233;PE
234;Loja Horizonte Esportes 234;PI
235;Vitrine Digital Livros 235;RJ
236;Viva Store Pet 236;RN
237;Conecta Shop Brinquedos 237;RS
238;Central Web Papelaria 238;RO
239;Compra Certa Alimentos 239;RR
240;Loja Aurora Moda 240;SC
241;Portal Mix Casa 241;SP
242;Mercado Nuvem Eletronicos 242;SE
243;Universo Shop Beleza 243;TO
244;Ponto Online Esportes 244;AC
245;Nova Vitrine Livros 245;AL
246;Loja Horizonte Pet 246;AP
247;Vitrine Digital Brinquedos 247;AM
248;Viva Store Papelaria 248;BA
249;Conecta Shop Alimentos 249;CE
250;Central Web Moda 250;DF
251;Compra Certa Casa 251;ES
252;Loja Aurora Eletronicos 252;GO
253;Portal Mix Beleza 253;MA
254;Mercado Nuvem Esportes 254;MT
255;Universo Shop Livros 255;MS
256;Ponto Online Pet 256;MG
257;Nova Vitrine Brinquedos 257;PA
258;Loja Horizonte Papelaria 258;PB
259;Vitrine Digital Alimentos 259;PR
260;Viva Store Moda 260;PE
261;Conecta Shop Casa 261;PI
262;Central Web Eletronicos 262;RJ
263;Compra Certa Beleza 263;RN
264;Loja Aurora Esportes 264;RS
265;Portal Mix Livros 265;RO
266;Mercado Nuvem Pet 266;RR
267;Universo Shop Brinquedos 267;SC
268;Ponto Online Papelaria 268;SP
269;Nova Vitrine Alimentos 269;SE
270;Loja Horizonte Moda 270;TO
271;Vitrine Digital Casa 271;AC
272;Viva Store Eletronicos 272;AL
273;Conecta Shop Beleza 273;AP
274;Central Web Esportes 274;AM
275;Compra Certa Livros 275;BA
276;Loja Aurora Pet 276;CE
277;Portal Mix Brinquedos 277;DF
278;Mercado Nuvem Papelaria 278;ES
279;Universo Shop Alimentos 279;GO
280;Ponto Online Moda 280;MA
281;Nova Vitrine Casa 281;MT
282;Loja Horizonte Eletronicos 282;MS
283;Vitrine Digital Beleza 283;MG
284;Viva Store Esportes 284;PA
285;Conecta Shop Livros 285;PB
286;Central Web Pet 286;PR
287;Compra Certa Brinquedos 287;PE
288;Loja Aurora Papelaria 288;PI
289;Portal Mix Alimentos 289;RJ
290;Mercado Nuvem Moda 290;RN
291;Universo Shop Casa 291;RS
292;Ponto Online Eletronicos 292;RO
293;Nova Vitrine Beleza 293;RR
294;Loja Horizonte Esportes 294;SC
295;Vitrine Digital Livros 295;SP
296;Viva Store Pet 296;SE
297;Conecta Shop Brinquedos 297;TO
298;Central Web Papelaria 298;AC
299;Compra Certa Alimentos 299;AL
300;Loja Aurora Moda 300;AP
301;Portal Mix Casa 301;AM
302;Mercado Nuvem Eletronicos 302;BA
303;Universo Shop Beleza 303;CE
304;Ponto Online Esportes 304;DF
305;Nova Vitrine Livros 305;ES
306;Loja Horizonte Pet 306;GO
307;Vitrine Digital Brinquedos 307;MA
308;Viva Store Papelaria 308;MT
309;Conecta Shop Alimentos 309;MS
310;Central Web Moda 310;MG
311;Compra Certa Casa 311;PA
312;Loja Aurora Eletronicos 312;PB
313;Portal Mix Beleza 313;PR
314;Mercado Nuvem Esportes 314;PE
315;Universo Shop Livros 315;PI
316;Ponto Online Pet 316;RJ
317;Nova Vitrine Brinquedos 317;RN
318;Loja Horizonte Papelaria 318;RS
319;Vitrine Digital Alimentos 319;RO
320;Viva Store Moda 320;RR
321;Conecta Shop Casa 321;SC
322;Central Web Eletronicos 322;SP
323;Compra Certa Beleza 323;SE
324;Loja Aurora Esportes 324;TO
325;Portal Mix Livros 325;AC
326;Mercado Nuvem Pet 326;AL
327;Universo Shop Brinquedos 327;AP
328;Ponto Online Papelaria 328;AM
329;Nova Vitrine Alimentos 329;BA
330;Loja Horizonte Moda 330;CE
331;Vitrine Digital Casa 331;DF
332;Viva Store Eletronicos 332;ES
333;Conecta Shop Beleza 333;GO
334;Central Web Esportes 334;MA
335;Compra Certa Livros 335;MT
336;Loja Aurora Pet 336;MS
337;Portal Mix Brinquedos 337;MG
338;Mercado Nuvem Papelaria 338;PA
339;Universo Shop Alimentos 339;PB
340;Ponto Online Moda 340;PR
341;Nova Vitrine Casa 341;PE
342;Loja Horizonte Eletronicos 342;PI
343;Vitrine Digital Beleza 343;RJ
344;Viva Store Esportes 344;RN
345;Conecta Shop Livros 345;RS
346;Central Web Pet 346;RO
347;Compra Certa Brinquedos 347;RR
348;Loja Aurora Papelaria 348;SC
349;Portal Mix Alimentos 349;SP
350;Mercado Nuvem Moda 350;SE
351;Universo Shop Casa 351;TO
352;Ponto Online Eletronicos 352;AC
353;Nova Vitrine Beleza 353;AL
354;Loja Horizonte Esportes 354;AP
355;Vitrine Digital Livros 355;AM
356;Viva Store Pet 356;BA
357;Conecta Shop Brinquedos 357;CE
358;Central Web Papelaria 358;DF
359;Compra Certa Alimentos 359;ES
360;Loja Aurora Moda 360;GO
361;Portal Mix Casa 361;MA
362;Mercado Nuvem Eletronicos 362;MT
363;Universo Shop Beleza 363;MS
364;Ponto Online Esportes 364;MG
365;Nova Vitrine Livros 365;PA
366;Loja Horizonte Pet 366;PB
367;Vitrine Digital Brinquedos 367;PR
368;Viva Store Papelaria 368;PE
369;Conecta Shop Alimentos 369;PI
370;Central Web Moda 370;RJ
371;Compra Certa Casa 371;RN
372;Loja Aurora Eletronicos 372;RS
373;Portal Mix Beleza 373;RO
374;Mercado Nuvem Esportes 374;RR
375;Universo Shop Livros 375;SC
376;Ponto Online Pet 376;SP
377;Nova Vitrine Brinquedos 377;SE
378;Loja Horizonte Papelaria 378;TO
379;Vitrine Digital Alimentos 379;AC
380;Viva Store Moda 380;AL
381;Conecta Shop Casa 381;AP
382;Central Web Eletronicos 382;AM
383;Compra Certa Beleza 383;BA
384;Loja Aurora Esportes 384;CE
385;Portal Mix Livros 385;DF
386;Mercado Nuvem Pet 386;ES
387;Universo Shop Brinquedos 387;GO
388;Ponto Online Papelaria 388;MA
389;Nova Vitrine Alimentos 389;MT
390;Loja Horizonte Moda 390;MS
391;Vitrine Digital Casa 391;MG
392;Viva Store Eletronicos 392;PA
393;Conecta Shop Beleza 393;PB
394;Central Web Esportes 394;PR
395;Compra Certa Livros 395;PE
396;Loja Aurora Pet 396;PI
397;Portal Mix Brinquedos 397;RJ
398;Mercado Nuvem Papelaria 398;RN
399;Universo Shop Alimentos 399;RS
400;Ponto Online Moda 400;RO
