id_vendedor;referencia;ajuste_devedor_contabil;compensacao_contabil;saldo_contabil_acumulado
1;01/01/2023;0;96,14;1133,22
1;01/02/2023;0;0;1133,22
1;01/03/2023;68,9;347,17;854,95
1;01/04/2023;0;0;854,95
1;01/05/2023;0;0;854,95
1;01/06/2023;0;138,44;716,51
1;01/07/2023;0;0;716,51
1;01/08/2023;0;0;716,51
1;01/09/2023;45,37;134,95;626,93
1;01/10/2023;27,92;0;654,85
1;01/11/2023;0;0;654,85
1;01/12/2023;0;87,94;566,91
1;01/01/2024;0;162,67;404,24
1;01/02/2024;0;282,22;122,02
1;01/03/2024;43,39;65,57;99,84
1;01/04/2024;0;277,42;-177,58
1;01/05/2024;369,61;0;192,03
1;01/06/2024;0;7,87;184,16
1;01/07/2024;123,55;307,71;0
1;01/08/2024;0;0;0
1;01/09/2024;0;0;0
1;01/10/2024;472,75;0;472,75
1;01/11/2024;305,21;77,5;700,46
1;01/12/2024;0;26,35;674,11
1;01/01/2025;168,99;0;843,1
1;01/02/2025;200,79;124,8;919,09
1;01/03/2025;0;330,74;588,35
1;01/04/2025;0;0;588,35
1;01/05/2025;0;27,62;560,73
1;01/06/2025;0;0;560,73
1;01/07/2025;0;0;560,73
1;01/08/2025;0;0;560,73
1;01/09/2025;0;4,58;556,15
1;01/10/2025;0;267,76;288,39
1;01/11/2025;0;281,07;7,32
1;01/12/2025;0;0;7,32
2;01/01/2014;0;0;0
2;01/02/2014;188,7;138,24;50,46
2;01/03/2014;741,49;444,42;347,53
2;01/04/2014;368,05;0;715,58
2;01/05/2014;372,46;0;1088,04
2;01/06/2014;0;262,34;825,7
2;01/07/2014;230,02;0;1055,72
2;01/08/2014;105,77;0;1161,49
2;01/09/2014;0;302,53;858,96
2;01/10/2014;0;0;858,96
2;01/11/2014;242,16;116,34;984,78
2;01/12/2014;0;0;984,78
2;01/01/2015;0;0;984,78
2;01/02/2015;47,93;318,56;714,15
2;01/03/2015;0;0;714,15
2;01/04/2015;555,56;159,81;1109,9
2;01/05/2015;0;0;1109,9
2;01/06/2015;0;0;1109,9
2;01/07/2015;373,16;0;1483,06
2;01/08/2015;0;101,2;1381,86
2;01/09/2015;0;253,42;1128,44
2;01/10/2015;0;352,71;775,73
2;01/11/2015;0;7,77;767,96
2;01/12/2015;343,4;0;1111,36
2;01/01/2016;60,83;24,67;1147,52
2;01/02/2016;599,93;126;1621,45
2;01/03/2016;0;0;1621,45
2;01/04/2016;646,17;155;2112,62
2;01/05/2016;0;176,73;1935,89
2;01/06/2016;0;0;1935,89
2;01/07/2016;430,78;30,45;2336,22
2;01/08/2016;129,05;0;2465,27
2;01/09/2016;416,78;132,41;2749,64
2;01/10/2016;398,27;147,07;3000,84
2;01/11/2016;0;0;3000,84
2;01/12/2016;295,63;245,38;3051,09
2;01/01/2017;0;438,01;2613,08
2;01/02/2017;128,73;0;2741,81
2;01/03/2017;539,77;22,65;3258,93
2;01/04/2017;0;259,51;2999,42
2;01/05/2017;0;0;2999,42
2;01/06/2017;0;23,58;2975,84
2;01/07/2017;341,45;116,5;3200,79
2;01/08/2017;340,16;0;3540,95
2;01/09/2017;0;0;3540,95
2;01/10/2017;180,73;0;3721,68
2;01/11/2017;161,7;0;3883,38
2;01/12/2017;344,22;248,97;3978,63
2;01/01/2018;145,55;229,27;3894,91
2;01/02/2018;381,78;93,73;4182,96
2;01/03/2018;0;87,45;4095,51
2;01/04/2018;0;225,08;3870,43
2;01/05/2018;0;257,48;3612,95
2;01/06/2018;357,86;46,1;3924,71
2;01/07/2018;445,7;148,71;4221,7
2;01/08/2018;115,51;35,7;4301,51
2;01/09/2018;0;452,39;3849,12
2;01/10/2018;292,12;287,7;3853,54
2;01/11/2018;61,71;131,3;3783,95
2;01/12/2018;0;0;3783,95
2;01/01/2019;68,03;245,18;3606,8
2;01/02/2019;0;0;3606,8
2;01/03/2019;0;0;3606,8
2;01/04/2019;399,04;340,78;3665,06
2;01/05/2019;251,85;166,2;3750,71
2;01/06/2019;99,41;0;3850,12
2;01/07/2019;0;159,46;3690,66
2;01/08/2019;269,81;210,96;3749,51
2;01/09/2019;0;0;3749,51
2;01/10/2019;121,97;468,22;3403,26
2;01/11/2019;0;0;3403,26
2;01/12/2019;0;17,82;3385,44
2;01/01/2020;0;352,22;3033,22
2;01/02/2020;0;0;3033,22
2;01/03/2020;627,33;180,25;3480,3
2;01/04/2020;189,61;346,82;3323,09
2;01/05/2020;679,04;508,06;3494,07
2;01/06/2020;96,9;0;3590,97
2;01/07/2020;99,91;0;3690,88
2;01/08/2020;0;14,11;3676,77
2;01/09/2020;0;278,84;3397,93
2;01/10/2020;0;419,62;2978,31
2;01/11/2020;122,36;91,7;3008,97
2;01/12/2020;107,36;0;3116,33
2;01/01/2021;0;169,83;2946,5
2;01/02/2021;167,39;560,23;2553,66
2;01/03/2021;0;0;2553,66
2;01/04/2021;0;201,7;2351,96
2;01/05/2021;289,44;95,75;2545,65
2;01/06/2021;303,2;0;2848,85
2;01/07/2021;0;291,32;2557,53
2;01/08/2021;0;357,11;2200,42
2;01/09/2021;0;0;2200,42
2;01/10/2021;396,48;242,36;2354,54
2;01/11/2021;0;80,48;2274,06
2;01/12/2021;0;0;2274,06
2;01/01/2022;73,72;237,29;2110,49
2;01/02/2022;0;0;2110,49
2;01/03/2022;339,71;117,93;2332,27
2;01/04/2022;0;110,4;2221,87
2;01/05/2022;387,19;381,64;2227,42
2;01/06/2022;0;148,81;2078,61
2;01/07/2022;0;0;2078,61
2;01/08/2022;143,43;116,37;2105,67
2;01/09/2022;0;575,01;1530,66
2;01/10/2022;0;111,99;1418,67
2;01/11/2022;0;58,19;1360,48
2;01/12/2022;0;210,15;1150,33
2;01/01/2023;0;352,33;798
2;01/02/2023;176,95;0;974,95
2;01/03/2023;0;0;974,95
2;01/04/2023;0;35,64;939,31
2;01/05/2023;0;95,83;843,48
2;01/06/2023;181,31;0;1024,79
2;01/07/2023;300,97;0;1325,76
2;01/08/2023;83,65;166,44;1242,97
2;01/09/2023;0;357,55;885,42
2;01/10/2023;354,73;0;1240,15
2;01/11/2023;62,23;0;1302,38
2;01/12/2023;0;236,06;1066,32
2;01/01/2024;625,35;146,91;1544,76
2;01/02/2024;0;521,93;1022,83
2;01/03/2024;156,27;0;1179,1
2;01/04/2024;0;0;1179,1
2;01/05/2024;0;99,63;1079,47
2;01/06/2024;173,4;0;1252,87
2;01/07/2024;38,19;0;1291,06
2;01/08/2024;0;0;1291,06
2;01/09/2024;72,48;167,35;1196,19
2;01/10/2024;495,92;324,47;1367,64
2;01/11/2024;0;0;1367,64
2;01/12/2024;0;8,52;1359,12
2;01/01/2025;0;287,92;1071,2
2;01/02/2025;235,65;118,92;1187,93
2;01/03/2025;197,97;0;1385,9
2;01/04/2025;135,74;198,76;1322,88
2;01/05/2025;531,97;148,02;1706,83
2;01/06/2025;0;0;1706,83
2;01/07/2025;32,76;223,17;1516,42
2;01/08/2025;126,03;0;1642,45
2;01/09/2025;0;319,74;1322,71
2;01/10/2025;0;177,08;1145,63
2;01/11/2025;0;0;1145,63
2;01/12/2025;0;0;1145,63
3;01/01/2014;0;0;0
3;01/02/2014;147,32;108,67;38,65
3;01/03/2014;175,74;211,51;2,88
3;01/04/2014;0;1,01;1,87
3;01/05/2014;183,05;144,42;40,5
3;01/06/2014;281,35;0;321,85
3;01/07/2014;529,43;47,46;803,82
3;01/08/2014;334,68;403,15;735,35
3;01/09/2014;0;288,63;446,72
3;01/10/2014;0;283,28;163,44
3;01/11/2014;0;163,44;0
3;01/12/2014;67,25;90,89;-23,64
3;01/01/2015;721,39;0;697,75
3;01/02/2015;0;0;697,75
3;01/03/2015;114,09;262,16;549,68
3;01/04/2015;0;0;549,68
3;01/05/2015;345,75;364,02;531,41
3;01/06/2015;0;0;531,41
3;01/07/2015;0;221,89;309,52
3;01/08/2015;0;108,43;201,09
3;01/09/2015;0;0;201,09
3;01/10/2015;0;42,6;158,49
3;01/11/2015;0;123,63;34,86
3;01/12/2015;435,01;201,8;268,07
3;01/01/2016;279,16;0;547,23
3;01/02/2016;0;0;547,23
3;01/03/2016;506,45;472,39;581,29
3;01/04/2016;219,42;213,28;587,43
3;01/05/2016;0;265,49;321,94
3;01/06/2016;225,26;85,38;461,82
3;01/07/2016;0;76,27;385,55
3;01/08/2016;0;51,77;333,78
3;01/09/2016;0;0;333,78
3;01/10/2016;540,34;249,21;624,91
3;01/11/2016;0;422,37;202,54
3;01/12/2016;0;102,15;100,39
3;01/01/2017;0;54,6;45,79
3;01/02/2017;0;37,69;8,1
3;01/03/2017;197,12;252,93;-47,71
3;01/04/2017;0;0;-47,71
3;01/05/2017;503,12;357,4;98,01
3;01/06/2017;480,11;0;578,12
3;01/07/2017;136,72;174,85;539,99
3;01/08/2017;0;293,93;246,06
3;01/09/2017;0;229,38;16,68
3;01/10/2017;524,48;338,85;202,31
3;01/11/2017;0;170,35;31,96
3;01/12/2017;0;70,84;-38,88
3;01/01/2018;0;0;-38,88
3;01/02/2018;94,63;149,21;-93,46
3;01/03/2018;461,26;260,8;107
3;01/04/2018;0;107;0
3;01/05/2018;0;0;0
3;01/06/2018;0;0;0
3;01/07/2018;0;0;0
3;01/08/2018;0;0;0
3;01/09/2018;0;0;0
3;01/10/2018;578,56;0;578,56
3;01/11/2018;0;122,88;455,68
3;01/12/2018;0;0;455,68
3;01/01/2019;0;0;455,68
3;01/02/2019;0;185,49;270,19
3;01/03/2019;0;200,23;69,96
3;01/04/2019;355,33;86,88;338,41
3;01/05/2019;572,47;0;910,88
3;01/06/2019;0;506,3;404,58
3;01/07/2019;0;47,6;356,98
3;01/08/2019;308,25;0;665,23
3;01/09/2019;0;409,18;256,05
3;01/10/2019;0;214,86;41,19
3;01/11/2019;398,79;309,26;130,72
3;01/12/2019;0;0;130,72
3;01/01/2020;0;30,17;100,55
3;01/02/2020;227,04;0;327,59
3;01/03/2020;257,25;143,86;440,98
3;01/04/2020;274,32;339,25;376,05
3;01/05/2020;478,56;405,83;448,78
3;01/06/2020;0;321,93;126,85
3;01/07/2020;714,81;30,92;810,74
3;01/08/2020;0;86,36;724,38
3;01/09/2020;159,88;0;884,26
3;01/10/2020;0;37,65;846,61
3;01/11/2020;0;643,76;202,85
3;01/12/2020;461,11;219,37;444,59
3;01/01/2021;0;230,05;214,54
3;01/02/2021;225,87;210,01;230,4
3;01/03/2021;243,72;412,34;61,78
3;01/04/2021;0;0;61,78
3;01/05/2021;190,73;0;252,51
3;01/06/2021;266,32;0;518,83
3;01/07/2021;0;0;518,83
3;01/08/2021;548,38;648,62;418,59
3;01/09/2021;283,83;493,36;209,06
3;01/10/2021;93,09;0;302,15
3;01/11/2021;0;0;302,15
3;01/12/2021;253,88;0;556,03
3;01/01/2022;198,77;89,08;665,72
3;01/02/2022;0;426,81;238,91
3;01/03/2022;457,76;424,62;272,05
3;01/04/2022;0;152,26;119,79
3;01/05/2022;33,92;153,71;0
3;01/06/2022;166,57;0;166,57
3;01/07/2022;151,25;317,82;0
3;01/08/2022;0;0;0
3;01/09/2022;111,4;111,4;0
3;01/10/2022;0;0;0
3;01/11/2022;0;0;0
3;01/12/2022;538,14;0;538,14
3;01/01/2023;0;32,05;506,09
3;01/02/2023;100,1;319,23;286,96
3;01/03/2023;0;0;286,96
3;01/04/2023;489,86;48,13;728,69
3;01/05/2023;229,8;574,04;384,45
3;01/06/2023;0;0;384,45
3;01/07/2023;0;324,58;59,87
3;01/08/2023;304,32;339,36;24,83
3;01/09/2023;0;15,26;9,57
3;01/10/2023;0;9,57;0
3;01/11/2023;0;0;0
3;01/12/2023;0;0;0
3;01/01/2024;583;6,69;576,31
3;01/02/2024;0;409,59;166,72
3;01/03/2024;0;105,24;61,48
3;01/04/2024;0;41,89;19,59
3;01/05/2024;0;0;19,59
3;01/06/2024;20,2;39,79;0
3;01/07/2024;0;0;0
3;01/08/2024;399,81;131,45;268,36
3;01/09/2024;284,05;534,48;17,93
3;01/10/2024;0;17,71;0,22
3;01/11/2024;167,72;0;167,94
3;01/12/2024;0;107,62;60,32
3;01/01/2025;0;60,32;0
3;01/02/2025;0;0;0
3;01/03/2025;209,91;332,8;-122,89
3;01/04/2025;0;0;-122,89
3;01/05/2025;93,86;0;-29,03
3;01/06/2025;469,02;0;439,99
3;01/07/2025;0;0;439,99
3;01/08/2025;0;193,25;246,74
3;01/09/2025;69,36;0;316,1
3;01/10/2025;0;0;316,1
3;01/11/2025;223,01;0;539,11
3;01/12/2025;0;71,53;467,58
4;01/01/2014;0;216,83;-216,83
4;01/02/2014;0;0;-216,83
4;01/03/2014;0;0;-216,83
4;01/04/2014;0;0;-216,83
4;01/05/2014;0;0;-216,83
4;01/06/2014;52,33;0;-164,5
4;01/07/2014;290,95;126,45;0
4;01/08/2014;89,14;0;89,14
4;01/09/2014;619,59;379,96;328,77
4;01/10/2014;0;0;328,77
4;01/11/2014;441,45;0;770,22
4;01/12/2014;0;569,43;200,79
4;01/01/2015;0;0;200,79
4;01/02/2015;0;0;200,79
4;01/03/2015;276,48;0;477,27
4;01/04/2015;0;344,79;132,48
4;01/05/2015;0;0;132,48
4;01/06/2015;173,21;305,69;0
4;01/07/2015;753,42;0;753,42
4;01/08/2015;0;315,72;437,7
4;01/09/2015;314,19;0;751,89
4;01/10/2015;0;0;751,89
4;01/11/2015;0;174,02;577,87
4;01/12/2015;758,3;0;1336,17
4;01/01/2016;0;0;1336,17
4;01/02/2016;257,27;370,48;1222,96
4;01/03/2016;0;0;1222,96
4;01/04/2016;73,95;125,98;1170,93
4;01/05/2016;0;0;1170,93
4;01/06/2016;0;228,37;942,56
4;01/07/2016;0;509,31;433,25
4;01/08/2016;0;0;433,25
4;01/09/2016;20,67;66,9;387,02
4;01/10/2016;243,84;0;630,86
4;01/11/2016;605,53;196,88;1039,51
4;01/12/2016;0;0;1039,51
4;01/01/2017;541,9;493,76;1087,65
4;01/02/2017;0;409,61;678,04
4;01/03/2017;505,39;224,9;958,53
4;01/04/2017;251,47;37,04;1172,96
4;01/05/2017;48,82;188,34;1033,44
4;01/06/2017;0;313,24;720,2
4;01/07/2017;30,9;0;751,1
4;01/08/2017;0;370,35;380,75
4;01/09/2017;0;243,78;136,97
4;01/10/2017;0;0;136,97
4;01/11/2017;52,38;162,77;26,58
4;01/12/2017;566,87;140,77;452,68
4;01/01/2018;785,66;651,48;586,86
4;01/02/2018;0;0;586,86
4;01/03/2018;0;99,59;487,27
4;01/04/2018;167,23;202,08;452,42
4;01/05/2018;0;55,07;397,35
4;01/06/2018;0;0;397,35
4;01/07/2018;144,77;47,34;494,78
4;01/08/2018;0;0;494,78
4;01/09/2018;0;0;494,78
4;01/10/2018;0;238,09;256,69
4;01/11/2018;0;256,69;0
4;01/12/2018;0;0;0
4;01/01/2019;0;0;0
4;01/02/2019;574,79;124,86;449,93
4;01/03/2019;0;120,18;329,75
4;01/04/2019;0;213,18;116,57
4;01/05/2019;0;79,29;37,28
4;01/06/2019;0;29,54;7,74
4;01/07/2019;0;126,72;-118,98
4;01/08/2019;275,08;154,83;1,27
4;01/09/2019;547,16;72,72;475,71
4;01/10/2019;0;475,71;0
4;01/11/2019;318,73;318,73;0
4;01/12/2019;0;0;0
4;01/01/2020;0;0;0
4;01/02/2020;320,61;114,28;206,33
4;01/03/2020;333,69;381,92;158,1
4;01/04/2020;0;158,1;0
4;01/05/2020;780,83;435,59;345,24
4;01/06/2020;326,86;646,22;25,88
4;01/07/2020;567,07;0;592,95
4;01/08/2020;0;0;592,95
4;01/09/2020;458,03;0;1050,98
4;01/10/2020;409,54;0;1460,52
4;01/11/2020;237,37;205,48;1492,41
4;01/12/2020;392,16;0;1884,57
4;01/01/2021;0;357,47;1527,1
4;01/02/2021;0;0;1527,1
4;01/03/2021;681,12;0;2208,22
4;01/04/2021;0;0;2208,22
4;01/05/2021;0;79,51;2128,71
4;01/06/2021;271,85;658,8;1741,76
4;01/07/2021;162,75;0;1904,51
4;01/08/2021;0;544,23;1360,28
4;01/09/2021;432,6;531,73;1261,15
4;01/10/2021;0;0;1261,15
4;01/11/2021;360,61;388,97;1232,79
4;01/12/2021;0;297,15;935,64
4;01/01/2022;131,4;98,37;968,67
4;01/02/2022;207,93;0;1176,6
4;01/03/2022;300,82;15,84;1461,58
4;01/04/2022;454,59;314,81;1601,36
4;01/05/2022;0;5,54;1595,82
4;01/06/2022;0;0;1595,82
4;01/07/2022;0;71,59;1524,23
4;01/08/2022;233,69;22,27;1735,65
4;01/09/2022;457,97;0;2193,62
4;01/10/2022;0;0;2193,62
4;01/11/2022;311,91;0;2505,53
4;01/12/2022;405,26;0;2910,79
4;01/01/2023;184,24;415,47;2679,56
4;01/02/2023;0;0;2679,56
4;01/03/2023;398,61;469,07;2609,1
4;01/04/2023;0;0;2609,1
4;01/05/2023;78,64;0;2687,74
4;01/06/2023;235,23;96,46;2826,51
4;01/07/2023;0;0;2826,51
4;01/08/2023;0;37,38;2789,13
4;01/09/2023;11,54;0;2800,67
4;01/10/2023;0;142,22;2658,45
4;01/11/2023;0;0;2658,45
4;01/12/2023;402,25;119,73;2940,97
4;01/01/2024;0;189,83;2751,14
4;01/02/2024;389,77;0;3140,91
4;01/03/2024;0;0;3140,91
4;01/04/2024;760,85;80,53;3821,23
4;01/05/2024;506,19;237,4;4090,02
4;01/06/2024;387,73;101,81;4375,94
4;01/07/2024;0;388,24;3987,7
4;01/08/2024;0;183,77;3803,93
4;01/09/2024;0;155,01;3648,92
4;01/10/2024;412,71;143,54;3918,09
4;01/11/2024;196,72;0;4114,81
4;01/12/2024;0;58,65;4056,16
4;01/01/2025;120,76;119,51;4057,41
4;01/02/2025;836,04;0;4893,45
4;01/03/2025;0;0;4893,45
4;01/04/2025;334,01;223,33;5004,13
4;01/05/2025;0;207,5;4796,63
4;01/06/2025;0;321,95;4474,68
4;01/07/2025;129,84;114,18;4490,34
4;01/08/2025;0;196,36;4293,98
4;01/09/2025;155,47;278,76;4170,69
4;01/10/2025;0;0;4170,69
4;01/11/2025;353,57;0;4524,26
4;01/12/2025;84,23;0;4608,49
5;01/01/2014;0;0;0
5;01/02/2014;227,1;58,39;168,71
5;01/03/2014;0;0;168,71
5;01/04/2014;0;0;168,71
5;01/05/2014;0;129,48;39,23
5;01/06/2014;137,01;0;176,24
5;01/07/2014;361,42;0;537,66
5;01/08/2014;392,59;326,94;603,31
5;01/09/2014;421,28;0;1024,59
5;01/10/2014;88,47;289,2;823,86
5;01/11/2014;412,23;162,16;1073,93
5;01/12/2014;383,65;0;1457,58
5;01/01/2015;0;110,2;1347,38
5;01/02/2015;366,87;0;1714,25
5;01/03/2015;0;0;1714,25
5;01/04/2015;716,7;425,11;2005,84
5;01/05/2015;0;150,35;1855,49
5;01/06/2015;230,61;524,69;1561,41
5;01/07/2015;0;0;1561,41
5;01/08/2015;0;550,58;1010,83
5;01/09/2015;0;249,73;761,1
5;01/10/2015;655,94;254,73;1162,31
5;01/11/2015;0;211,3;951,01
5;01/12/2015;893,57;0;1844,58
5;01/01/2016;0;0;1844,58
5;01/02/2016;83,92;540,34;1388,16
5;01/03/2016;479,76;701,45;1166,47
5;01/04/2016;713;0;1879,47
5;01/05/2016;0;0;1879,47
5;01/06/2016;0;0;1879,47
5;01/07/2016;0;338,11;1541,36
5;01/08/2016;0;115,86;1425,5
5;01/09/2016;0;257,53;1167,97
5;01/10/2016;345,31;304,8;1208,48
5;01/11/2016;572,42;183,19;1597,71
5;01/12/2016;578,75;0;2176,46
5;01/01/2017;0;0;2176,46
5;01/02/2017;0;201,36;1975,1
5;01/03/2017;0;198,86;1776,24
5;01/04/2017;369,3;0;2145,54
5;01/05/2017;110,34;569,25;1686,63
5;01/06/2017;369,12;0;2055,75
5;01/07/2017;0;0;2055,75
5;01/08/2017;0;0;2055,75
5;01/09/2017;377,04;504,06;1928,73
5;01/10/2017;0;0;1928,73
5;01/11/2017;0;0;1928,73
5;01/12/2017;98,24;0;2026,97
5;01/01/2018;113,53;290,67;1849,83
5;01/02/2018;326,91;0;2176,74
5;01/03/2018;75;0;2251,74
5;01/04/2018;539,07;218,24;2572,57
5;01/05/2018;0;147,95;2424,62
5;01/06/2018;34,19;3,59;2455,22
5;01/07/2018;0;246,21;2209,01
5;01/08/2018;390,25;235,32;2363,94
5;01/09/2018;930,43;0;3294,37
5;01/10/2018;0;469,05;2825,32
5;01/11/2018;219,57;480,59;2564,3
5;01/12/2018;0;0;2564,3
5;01/01/2019;0;217,91;2346,39
5;01/02/2019;260,91;126,82;2480,48
5;01/03/2019;0;0;2480,48
5;01/04/2019;473;10,72;2942,76
5;01/05/2019;0;81,04;2861,72
5;01/06/2019;0;500,74;2360,98
5;01/07/2019;249,28;0;2610,26
5;01/08/2019;25,27;373,56;2261,97
5;01/09/2019;0;0;2261,97
5;01/10/2019;670,43;0;2932,4
5;01/11/2019;0;0;2932,4
5;01/12/2019;0;207,4;2725
5;01/01/2020;0;140,08;2584,92
5;01/02/2020;184,32;258,86;2510,38
5;01/03/2020;0;241,14;2269,24
5;01/04/2020;0;0;2269,24
5;01/05/2020;0;0;2269,24
5;01/06/2020;514,03;406,53;2376,74
5;01/07/2020;579,44;0;2956,18
5;01/08/2020;0;0;2956,18
5;01/09/2020;307,27;282,01;2981,44
5;01/10/2020;0;0;2981,44
5;01/11/2020;0;301,67;2679,77
5;01/12/2020;712,42;166,32;3225,87
5;01/01/2021;0;18,23;3207,64
5;01/02/2021;0;0;3207,64
5;01/03/2021;0;37,88;3169,76
5;01/04/2021;0;401,44;2768,32
5;01/05/2021;0;0;2768,32
5;01/06/2021;0;0;2768,32
5;01/07/2021;215,99;532,87;2451,44
5;01/08/2021;499,25;145,04;2805,65
5;01/09/2021;0;461,66;2343,99
5;01/10/2021;456,07;590,07;2209,99
5;01/11/2021;694,94;0;2904,93
5;01/12/2021;88,44;0;2993,37
5;01/01/2022;980,22;242,41;3731,18
5;01/02/2022;0;374,07;3357,11
5;01/03/2022;0;718,5;2638,61
5;01/04/2022;0;261,86;2376,75
5;01/05/2022;104,55;0;2481,3
5;01/06/2022;299,34;3,63;2777,01
5;01/07/2022;292,7;181,47;2888,24
5;01/08/2022;668,02;0;3556,26
5;01/09/2022;953,7;296,24;4213,72
5;01/10/2022;412,24;498,6;4127,36
5;01/11/2022;447,46;0;4574,82
5;01/12/2022;0;0;4574,82
5;01/01/2023;0;0;4574,82
5;01/02/2023;275,52;364,05;4486,29
5;01/03/2023;0;468,7;4017,59
5;01/04/2023;532,96;0;4550,55
5;01/05/2023;0;449,65;4100,9
5;01/06/2023;0;290,86;3810,04
5;01/07/2023;0;0;3810,04
5;01/08/2023;0;275,15;3534,89
5;01/09/2023;454,04;0;3988,93
5;01/10/2023;0;218,05;3770,88
5;01/11/2023;622,56;0;4393,44
5;01/12/2023;0;543,11;3850,33
5;01/01/2024;0;806,86;3043,47
5;01/02/2024;555,43;0;3598,9
5;01/03/2024;0;164,69;3434,21
5;01/04/2024;174,58;0;3608,79
5;01/05/2024;0;0;3608,79
5;01/06/2024;193,37;0;3802,16
5;01/07/2024;570,87;0;4373,03
5;01/08/2024;316,78;1,82;4687,99
5;01/09/2024;312,79;24,85;4975,93
5;01/10/2024;0;0;4975,93
5;01/11/2024;0;0;4975,93
5;01/12/2024;0;0;4975,93
5;01/01/2025;0;170,55;4805,38
5;01/02/2025;0;322,34;4483,04
5;01/03/2025;0;592,62;3890,42
5;01/04/2025;0;0;3890,42
